,Name,Caco_2,CLint(ul/min/mg),HLM_T1/2(min),SMILES,"fraction unbound 
in plasma (fu)",Reference,Year of first disclosure,CT,Domain elimination pathway,,
0,Acetaminophen,16.7,8.1,171.1111111,CC(=O)Nc1ccc(O)cc1,0.52,"Rowlins MD, Henderson DB, Hijab AR (1977) Pharmacokinetics of paracetamol (acetaminophen) after intravenous and oral administration.  Eur. J. Clin. Pharmacol. 11: 283-286.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",1907,neutral,Hepatic,rea,
1,Alprazolam,535,180,7.7,Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,0.29,"Smith RB, Kroboth PD, Vanderligt JT, Phillips JP, and Juhl RP (1984) Pharmacokinetics and pharmacodynamics of alprazolam after oral and IV administration.  Psychopharmacology 84: 452-456.  Greenblatt DJ and Wright CE (1993) Clinical pharmacokinetics of alprazolam. Therapeutic implications.    Clin. pharmacokinet. 24: 453-471.  ",1970,neutral,Hepatic,rea,
2,Amitriptyline,125.7,17,81.52941176,CN(C)CCC=C1c2ccccc2CCc3ccccc13,0.07,Jorgensen A and Hansen V (1976) Pharmacokinetics of amitriptyline infused intravenously in man.  Eur. J. Clin. Pharmacol.  10: 337-341.  Nyberg G and Maartensson E (1984) Determination of free fractions of tricyclic antidepressants.    Naunyn-Sch Arch. Pharmacol. 327: 260-265.,1960,cationic,Hepatic,gfr,
3,Atenolol,1.576027345,14,99,CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,0.94,"Mason WD, Winer N, Kochak G, Cohen I, and Bell R (1979) Kinetics and absolute bioavailability of atenolol.  Clin. Pharmacol. Ther.  25: 408-415.  Henry JA and Mitchell SN (1981)  Effect of pH on human plasma protein binding of a series of .beta.-adrenoceptor antagonists.    Br. J. Clin. Pharmacol. 11: 119P-120P. ",1970,cationic,Renal,secretion,
4,Betaxolol,15.48816619,2.6,533.0769231,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0.4,"Ludden TM, Boyle DA, Gieseker D, Kennedy GT, Crawford MH, Ludden LK, and Clementi WA (1988) Absolute bioavailability and dose proportionality of betaxolol in normal healthy subjects.  J. Pharm. Sci. 77: 779-783.  Henry JA and Mitchell SN (1981) Effect of pH on human plasma protein binding of a series of .beta.-adrenoceptor antagonists.    Br. J. Clin. Pharmacol. 11: 119P-120P. ",1977,cationic,Hepatic,gfr,
5,Bosentan,1.047128548,14,99,COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cc3)C(C)(C)C)nc(nc2OCCO)c4ncccn4,0.037,10.1016/S0009-9236(96)90127-7,1992,anionic,Hepatic,,
6,Caffeine,40.09861626,5.7,243.1578947,CN1C(=O)N(C)c2ncn(C)c2C1=O,0.64,Blanchard J and Sawers SJA (1983) Comparative pharmacokinetics of caffeine in young and elderly men.  J. Pharmacokinet. Biopharm. 11: 109-126.,1968,neutral,Hepatic,rea,
7,Chlorpromazine,19.92631158,58,23.89655172,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,0.056,"Yeung PKF, Hubbard JW, Korchinski ED, and Midha KK (1993)  Pharmacokinetics of chlorpromazine and key metabolites.  Eur. J. Clin.Pharmacol. 45: 563-569.  Koytchev R, Alken RG, Kirkov V, Neshev G, Vagaday M, and Kunter U (1994) Absolute bioverfugbarkeit von chlorpromazin, promazin, und promethazin.  Arz. Forsch. 44: 121-125.  Curry SH (1970) Plasma protein binding of chlorpromazine.  J. Pharm. Pharmacol. 22: 193-197.",1972,cationic,Hepatic,gfr,
8,Cimetidine,2.367208858,10,138.6,CN\C(=N/CCSCc1nc[nH]c1C)\NC#N,0.78,"Arancibia A, Schindler I, Paccot E, Ruiz I, Gonzalez G, Mella F, and Thambo S (1985) Pharmacicinetique de la cimetidine apres administration d'une dose unique par voie intraveineuse rapide et d'une autre par voie orale.  Therapie  40: 87-92.  Bauer LA, Wareing-Tran C, Edwards WAD, Raisys V, Ferreri L, Jack R, Dellinger EP, and Simonowitz D  (1985) Cimetidine clearance in the obese.  Clin. Pharmacol. Ther. 37: 425-430.  Gugler R, Muller-Liebenau B, and Somogyi A (1982) Altered disposition and availability of cimetdine in liver cirrhotic patients.  Br. J. Clin. Pharmacol. 14: 421-429.  Schentag JJ, Cerra FB, Calleri GM, Leising ME, French MA, and Bernhard H (1981) Age, disease, and cimetidine disposition in healthy subjects and chronically ill patients.  Clin. Pharmacol. Ther. 29: 737-743.",1963,neutral,Renal,secretion,
9,Clozapine,15.89,16,86.625,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,0.055,10.1007/BF01046700,1963,cationic,Hepatic,rea,
10,Desipramine,20.23477942,23,60.26086957,CNCCCN1c2ccccc2CCc3ccccc13,0.16,10.1038/clpt.1988.66,1959,cationic,Hepatic,gfr,
11,Dexamethasone,14.50997181,10,138.6,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.32,10.1111/bcp.12295,1955,neutral,Hepatic,rea,
12,Diazepam,53.39404722,2.2,630,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,0.023,"Klotz U, Avant GR, Hoyumpa A, Schenker S, and Wilkinson (1975) The effects of age and liver disease on the disposition and elimination of diazepam in adult man.  J. Clin. Invest. 55: 347-359.  Andersson T, Andren K, Cederberg C, Edvardsson G, Heggelund A, and Lundborg P (1990) Effect of omeprazole and cimetidine on plasma diazepam levels.  Eur. J. Clin. Pharmacol. 39: 51-54.  Herman RJ and Wilkinson GR (1996) Disposition of diazepam in young and elderky subjects after acute and chronic dosing.  Br. J. Clin. Pharmacol. 42: 147-155.  Lucek RW and Coutinho CB (1976) The role of substituents in the hydrophobic binding of the 1,4-benzodiazepines by human plasma proteins.    Molec. Pharmacol. 12:  612-619.  Desmond PV, Roberts RK, Wood AJJ, Dunn GD, Wilkinson GR, and Schenker S (1980) Effect of heparin administration on plasma binding of benzodiazepines.  Br. J. Clin. Pharmacol. 9: 171-175.",1961,neutral,Hepatic,rea,
13,Diclofenac,53.70317964,207,6.695652174,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,0.005,10.1007/BF00568201,1968,anionic,Hepatic,secretion,
14,Diltiazem,33.03915146,31,44.70967742,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,0.18,10.1007/bf00610053,1973,cationic,Hepatic,secretion,
