SMILES,caco2_log10
[H]c1nc([H])c([C@]([H])(N([H])C(=O)[N+]2([H])C(=O)[C@]([H])(C([H])([H])c3c([H])c([H])nc(N([H])[H])c3[H])[C@@]2([H])C(=O)N(c2c([H])c([H])nc([H])c2[H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c1[H],-5.0
[H]c1c([H])c([H])c2c(c1[H])c(C(=O)[O-])c([H])n2[H],-4.56067
[H]ON([H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])N([H])C(=O)c1c([H])c([H])c(C([H])([H])n2c(C3([H])C([H])([H])C3([H])[H])nc3c([H])c([H])c([H])c([H])c32)c([H])c1[H],-5.69897
[H]ON([H])C(=O)[C@@]1([H])C([H])([H])OC([H])([H])[C@@]1([H])N([H])C(=O)c1c([H])c([H])c(C([H])([H])n2c(C(F)(F)F)nc3c([H])c([H])c([H])c([H])c32)c([H])c1[H],-7.0
[H]c1c([H])c([H])c([C@@]([H])(N([H])C(=O)C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])[N+]2([H])C([H])([H])[C@@]3([H])C([H])([H])[N+]([H])(C(=O)c4c(C([H])([H])[H])c([H])c([H])c([H])c4C([H])([H])[H])C([H])([H])[C@@]3([H])C2([H])[H])c([H])c1[H],-5.39794
[H]c1c([H])c([H])c(OC([H])([H])[H])c(Oc2c([H])c([N+](=O)[O-])c([H])c([H])c2N([H])S(=O)(=O)C([H])([H])[H])c1[H],-4.95078
[H]/C(=C(/[H])C([H])([H])C([H])([H])[N+]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])[H])C1([H])[H])c1c([H])nc([H])c(C#N)c1N([H])c1c([H])c([H])c2c(c([H])c([H])n2[H])c1C([H])([H])[H],-6.30103
[H]c1c([H])c([H])c2c(c1[H])C(N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])=[N+]([H])c1c([H])c(Cl)c([H])c([H])c1N2[H],-4.51004
[H]N1C(=O)[C@]([H])(C([H])([H])C([H])([H])[H])SC12C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C2([H])[H],-4.75945
[H]c1nc2c(c([H])nn2-c2nc([H])c(-c3nnn(C4([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C4([H])[H])c3[H])c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c2[H])c([H])c1C#N,-5.82391
[H]c1c([H])c(-c2c([H])c([H])c(N([H])C(=O)C([H])([H])n3nc([N+](=O)[O-])nc3[H])c([H])c2[H])c([H])c([H])c1C#N,-4.72816
[H]OC([H])([H])C([H])([H])N([H])C(=O)c1c([H])n(C([H])([H])c2nc([H])nc(N(C([H])([H])[H])C([H])([H])[H])c2C([H])([H])[H])c2c([H])c(OC([H])([H])[H])c([H])nc12,-5.52288
[H]O[C@]12C(C([H])([H])[H])(C([H])([H])[H])C(=C(C([H])([H])[H])[C@@]([H])(OC(=O)[C@]([H])(O[H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N([H])C(=O)/C(=C(\[H])C([H])([H])[H])C([H])([H])[H])C1([H])[H])[C@@]([H])(O[H])C(=O)[C@]1(C([H])([H])[H])[C@@]([H])(OC(=O)N([H])C([H])([H])[H])C([H])([H])[C@@]3([H])OC([H])([H])[C@@]3(OC(=O)C([H])([H])[H])[C@@]1([H])[C@]2([H])OC(=O)c1c([H])c([H])c([H])c(N=[N+]=[N-])c1[H],-3.59346
[H]c1c([H])c([H])c(N2C(=O)[C@@]([H])(N([H])C(=O)N([H])c3c([H])c([H])c([H])c(C(=O)[O-])c3[H])C(=O)N(C([H])([H])C(=O)N(c3c([H])c([H])c([H])c([H])c3[H])C([H])(C([H])([H])[H])C([H])([H])[H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H],-6.79588
[H]c1nc(Oc2c([H])c([H])c(F)c([H])c2[H])c(C(=O)N([H])C(c2c([H])c([H])c(C(=O)[O-])c([H])c2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1F,-4.44009
[H]c1c([H])c([H])c(C([H])([H])c2nnc(N([H])c3c([H])c([H])c(-c4c([H])c([H])c(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c4[H])c([H])c3[H])s2)c([H])c1[H],-7.39794
[H]c1c([H])c(C(=O)C2([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])n3c(=O)[n-]c4c([H])c([H])c([H])c([H])c4c3=O)C([H])([H])C2([H])[H])c([H])c([H])c1F,-4.44009
[H]c1c(N([H])[C@]2([H])C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(C2([H])[H])[N+]3([H])C(=O)c2noc(C([H])([H])[H])c2C([H])([H])[H])c2c([H])c(F)c(F)c([H])c2n(C([H])([H])[H])c1=O,-4.63827
[H]Oc1nc(-c2c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])nc([H])c(C(=O)C([H])([H])[H])c2[H])nc2c(C([H])([H])C([H])([H])C([H])([H])[H])n(C([H])([H])c3nc([H])c([H])c([H])c3[H])nc12,-4.37675
[H]c1c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c(C([H])([H])C([H])(C(=O)[N+]2([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C2([H])[H])N([H])S(=O)(=O)c2c([H])c([H])c3c([H])c([H])c([H])c([H])c3c2[H])c1[H],-7.03245
[H]OC([H])([H])[C@@]([H])(Oc1c([H])c(Oc2c([H])c([H])c(C(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c(C(=O)N([H])c2nn(C([H])([H])[H])c([H])c2[H])c1[H])C([H])([H])[H],-5.76955
[H]c1c([H])c(C([H])([H])[C@]([H])(C([H])([H])OC([H])([H])[H])[C@@]([H])(C([H])([H])OC([H])([H])[H])C([H])([H])c2c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2[H])c([H])c(OC([H])([H])[H])c1OC([H])([H])[H],-4.45717
[H]c1nc2c([H])nc(-c3c([H])c([H])c(C(=O)[N+]4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])c([H])c3[H])c([H])n2c1-c1c([H])c([H])c(C#N)c([H])c1[H],-4.74715
[H]c1nc2c(c([H])nn2-c2nc([H])c(-c3nnn(C4([H])C([H])([H])N(C(=O)C([H])([H])[H])C4([H])[H])c3[H])c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c2[H])c([H])c1C#N,-5.82391
